,en,tn
9342,fight between neighborhoods,عَرْكَةْ حْوِمْ
9343,"man-to-man fight, one on one",عَرْكَةْ رَاسْ رَاسْ
9344,"country, rural, simple, traditional",عْرُوبِي
9345,all the girls were dressed immodestly,عْرَى وَ ڨْرَى
9346,naked,عِرْيَانْ
9347,wide,عْرِيضْ
9348,First Sergeant,عَرِيفْ أَوَّلْ
9349,"long-standing, has a long and rich history",عَرِيقْ
9350,to hug,عَزّْ
9351,consolation (esp after death of loved one),عْزَاءْ
9352,"making fun of, mocking",عْزَارَةْ
9353,love and respect,عِزَّةْ
9354,"The angel of death took him, he died, he was scared out of his mind",عَزْرَائِيلْ قْبَضْلُو رُوحُو
9355,"to isolate, separate, set alone",عْزِلْ
9356,"determination, intention, setting of mind/heart",عَزِّمْ
9357,"to intend, determine to",عْزِمْ
9358,old man,عْزُوزْ
9359,old woman,عْزُوزَة
9360,"to console, comfort",عَزَّى
9361,"to guard, watch",عَسْ
9362,"take care of yourself, he watched out",عَسْ عَلَى رُوحُو
9363,He watched him,عَسْ عْليهْ
9364,"guarding, watching",عَسَّةْ
9365,soldier,عَسْكْرِي
9366,"honey color, amber",عَسْلِي
9367,"might, may, could be",عَسَى
9368,"lovers, those who are passionate about something",عُشَّاقْ
9369,"tenth, tithe",عْشُرْ
9370,"tens (""dozens"")",عَشَرَاتْ
9371,"long-standing relationship, close friendship",عِشْرَةْ
9372,ten,عَشْرَى
9373,pregnant,عَشْرَى
9374,"to take good care of, feed well, fatten up",عَشْعِشْ
9375,"evening, late afternoon",عْشِيَّةْ
9376,"an old companion, good friend",عْشِيرْ
9377,"my life companion, soulmate",عْشِيرْ عُمْرِي
9378,"clan, tribe",عَشِيرَةْ
9379,"admirer, lover, fan",عَشِيقْ
9380,"stick, rod",عْصَا
9381,magic wand,عْصَا سِحْرِيَّة
9382,"gang, group of bandits",عِصَابَةْ
9383,Aysam (man's name),عِصَامْ
9384,Self-made,عِصَامِي
9385,"to squeeze, wring",عْصَرْ
9386,squeezing,عَصْرَانْ
9387,young man who is after women (named after movie),عَصْفُورْ سْطَحْ
9388,"unfriendly person, sociopath (crass)",عُصُّو رْزِينْ
9389,"to disobey, not listen",عْصَى
9390,stick,عْصَى
9391,civil disobedience,عِصْيَانْ مَدَنِي
9392,to bite,عَضّْ
9393,"to bite one's tongue, to be patient",عَضّْ عْلَى لْسَانُو
9394,bite,عَضَّةْ
9395,"big, tough guy",عَضْرُوتْ
9396,he believed in himself,عْطَا ثِقَةْ فِي رُوحُو
9397,"he gave me a sign, signal",عْطَانِي سِينْيْ
9398,"to give something under the table, illegally",عْطَاهْ تَحْتْ الطَّاوْلَةْ
9399,to give an award,عْطَاهْ جَايْزَةْ
9400,to give a bribe,عْطَاهْ جْعَالَةْ
9401,to give a bribe,عْطَاهْ رَشْوَةْ
9402,"to give a harsh/nasty look, scowl",عطاه صفة ڨحرة
9403,"to give a guarantee, warranty",عْطَاهْ ضَمَانْ
9404,"to respect, treat according to his value",عْطَاهْ قِيمْتُو
9405,to give freedom,عْطَاهْ لْحُرِيَّةْ
9406,to strike with a belt,عْطَاهَا شَحْطَةْ
9407,"they're rich, God blessed them with a lot",عْطَاهُمْ رَبِّي
9408,obstacles,عْطَايَلْ
9409,an offering,عَطِيَّة
9410,"to block, slow down, hinder",عَطِّلْ
9411,"holiday, break, vacation",عُطْلَة
9412,to give,عْطَى
9413,he gave his best,عْطَى أَحْسِنْ مَا عَنْدُو
9414,he made a suggestion,عْطَى إِقْتِرَاحْ
9415,he gave permission,عْطَى الِإذْنْ
9416,he gave authorisation,عْطَى الأُوتُورِيزَاسْيُونْ
9417,he gave the green light,عْطَى الفُو فَارْ
9418,to promise,عْطَى الكِلْمَةْ
9419,gave the word for someone to speak,عْطَى الكِلْمَةْ
9420,he gave the maximum,عْطَى المَاكْسِيمُومْ
9421,to give approval,عْطَى المُوَافْقَةْ
9422,to give time to something,عْطَى الوَقْتْ
9423,to give the impression,عْطَى أَمْبْرَاسْيُونْ
9424,to give something importance,عْطَى أَمْبُورْطُونْسْ
9425,to give something importance,عْطَى أَهَمِيَّةْ
9426,to give orders,عْطَى أَوَامِرْ
9427,to give orders,عْطَى أُورْدِرْ
9428,to punch,عْطَى بُونْيَةْ
9429,"to give a recommendation, support",عْطَى تَزْكْيَةْ
9430,"to do his duty before God (pray, etc.)",عْطَى حَقّْ رَبِّي
9431,"to give a definition, define",عْطَى دِيفِينِيسْيُونْ
9432,to give an opinion,عْطَى رَايُو
9433,"to give to charity, give to poor",عْطَى صَدْقَةْ
9434,"to hit, strike",عْطَى ضَرْبَاتْ
9435,to give a chance,عْطَى فُرْصَةْ
9436,"to give money to the poor, to donate money",عْطَى فْلُوسُو لِزْوَاوْلَةْ
9437,to give advice,عطى كونسينيْ
9438,he gave his approval,عْطَى لَاكُورْ مْتَاعُو
9439,to listen carefully,عْطَى وِذْنُو
9440,"very great, grand",عُظْمَى
9441,"great, grand",عْظِيمْ
9442,"to become a good person, do what is right",عَفّْ
9443,liar (slang),عَفَّاطْ
9444,"a good, pure person",عَفَافْ
9445,they pardoned him,عْفَاوْ عْلِيهْ
9446,to step on,عَفِّسْ
9447,to step on something,عَفِّسْ بْسَاقِيهْ عْلَى
9448,"to put out a cigarette, step on it",عَفِّسْ عَ السِّيقَارُو
9449,"ugly, bad",عِفْش
9450,a click sound made by the lips to mock someone,عَفِّطْ
9451,to pardon,عفى
9452,"virtuous, pure, good",عفيفة
9453,punishment,عْقَابْ
9454,at the middle of the day,عْقَابْ النّْهَارْ
9455,to thicken up,عْقَادْ
9456,"to grow up, grow wiser, wisen up, grow calm",عْقَالْ
9457,"to fool, pull one over one someone",عَقِّبْ
9458,to tie a knot,عْقَدْ
9459,knot,عُقْدَةْ
9460,knot (water speed),عُقْدَةْ
9461,"to remember, recognize",عَقْل
9462,"mentality, way of thinking",عَقْلِيَّة
9463,"crutch, cane",عكُّازْ
9464,"to ruin, mess up",عَكِّرْ
9465,"reverse, opposite",عْكِسْ
9466,"against, in opposition",عِكْسُو
9467,to trip,عَكِّلْ بْسَاقُو
9468,to quit over something small,عَلْ البَزْقَةْ يْشِدّْ فْرَانْ
9469,on the edge,عَلْ الحَافّة
9470,at the (appropriate) level,عَلْ المُسْتَوَى
9471,on the left,عَلْ إِيسَارْ
9472,at the expense of,عَلْ حْسَابْ
9473,randomly,عَلْ مَهْمُوتَةْ
9474,random,عَلْ هَامِشْ
9475,"marginalized, living on the edge of society",عَلْ هَامِشْ
9476,"sexual, erotic relationship",عَلَاقَةْ شَبَقِيّةْ
9477,close relationship,عَلَاقَةْ قَرِيبَةْ
9478,"trouble, sickness, something wrong",عِلَّةْ
9479,to hang,عَلَّقْ
9480,to hang up (on the phone),عَلِّقْ عْلِيهْ
9481,to comment on something,عَلِّقْ عْلِيهْ
9482,to get a higher rank in the military,علْقُولُو قْرَادْ
9483,flag,عَلَمْ
9484,"to inform, be informed",عْلِمْ
9485,"on, about, against",عَلَى
9486,angry,عَلَى أَعْصَابُو
9487,while it is still in the air,عْلَى الطَّايِرْ
9488,very quickly,عْلَى الطَّايِرْ
9489,on what basis,عَلَى أَنَا أَسَاسْ
9490,on the outside,عَلَى بَرَّةْ
9491,out,عَلَى بَرَّةْ
9492,"together, mixed",عَلَى بَعْضُو
9493,to build higher,عَلَّى بَنْيَةْ
9494,on the side,عْلَى جْنَبْ
9495,"for nothing, pointlessly",عَلَى حَتَّى شَيْ
9496,because,عَلَى خَاطِرْ
9497,for the sake of,عَلَى خَاطِرْ
9498,"under his responsibility, at his service",عَلَى ذِمْتُو
9499,born one right after another,عَلَى رْيُوسْ بْعَضْهُمْ
9500,"to come right after the other, come consecutively",عَلَى رْيُوسْ بْعَضْهُمْ
9501,"to have a knowledge of the subject, be aware",عْلَى عِلْمْ بِلْحْكَايَةْ
9502,suddenly,عَلَى غَرَّادَةْ
9503,to raise the volume,عَلَّى فِي الصُّوتْ
9504,"alive, living",عَلَى قَيْدْ لْحَيَاةْ
9505,rolling around laughing,عَلَى كِرْشُو مِ الضَّحْكْ
9506,"his way, as he wants",عَلَى كِيفُو
9507,on the board,عَلَى لُوحَةْ
9508,a famous Tunisian singer,عُلَيَّةْ
9509,someone who knows everything,عَلِيمْ
9510,on the right,علّيمين
9511,age,عْمُرْ
9512,to set the alarm clock,عَمِّرْ الفَيَّاقَةْ
9513,it's never happened,عْمُرْهَا مَا صَارِتْ
9514,"to load, fill, set",عَمّْر
9515,all his life,عُمْرُو لْكُلْ
9516,it wasn't his time to die,عُمْرُو مَازَالْ
9517,I have never …,عُمْرِي
9518,to squint,عَمِّشْ
9519,"to count on, depend on",عَمِّلْ
9520,he got a good deal,عْمَلْ آفَارْ
9521,he did good deeds without expecting something in return,عْمَلْ الخِيرْ وْمَحْسِبْشْ
9522,to practice magic,عْمَلْ السِّحْرْ
9523,to do evil,عْمَلْ الشَّرْ
9524,he did as much as he could,عْمَلْ المَاكْسِيمُومْ بُوسِيبِلْ
9525,he did his best,عْمَلْ إِلِّي عْلِيهْ
9526,he made a schedule,عْمَلْ أُنْبُلْوَا دُو تُونْ
9527,to give a presentation,عْمَلْ بْرِيزْونْتَاسْيُونْ
9528,to do something on purpose,عْمَلْ بِلْعَانِي
9529,to make preparations,عْمَلْ تَحْضِيرَاتْ
9530,"to make a call, call someone",عْمَلْ تَلِفُونْ
9531,to inhale (cigarette),عْمَلْ جَبْدَاتْ
9532,to make a schedule,عْمَلْ جَدْوِلْ أَوْقَاتْ
9533,to commit a crime,عْمَلْ جَرِيمَةْ
9534,"to think of someone, care for him/her",عْمَلْ حْسَاْب لْغِيرُو
9535,to be scared of or watch out for someone,عْمَلْ حْسَاْب لْغِيرُو
9536,to make one's first steps,عْمَلْ خُطْوَاتُو لُولَا
9537,"to answer, let someone know",رَدّْ خَبَرْ
9538,"to make a complaint, ask for something to be fixed",عْمَلْ رِكْلَامَاسْيُونْ
9539,to network,عْمَلْ رِيزُو
9540,"to visit, stop by",عْمَلْ طَلَّةْ
9541,he took a look,عْمَلْ طَلَّةْ
9542,to rely on oneself,عَمِّلْ عَلَى ذْرَاعُو
9543,to pressure someone,عْمَلْ عْلِيهْ ضَغْطْ
9544,"he changed his thinking, cleaned up his mind",عْمَلْ فِيدُونْجْ لْمُخُّو
9545,he made himself forget certain events,عْمَلْ فِيدُونْجْ لْمُخُّو
9546,to make the finishing touches,عْمَلْ فِينِيسْيُونْ
9547,to frown,عمل قريماس
9548,"to be determined, decide to really do something, take courage",عْمَلْ قْلَيِّبْ
9549,he did everything for him,عْمَلْ كُلْ شَيْ عَلَى خَاطْرُو
9550,to make a copy,عمل كوبي
9551,to keep a collection,عْمَلْ كُولَكْسْيُونْ
9552,to do good things,عْمَلْ لْخِيرْ
9553,to set limits,عْمَلْ لِيمِيتْ
9554,to work hard to reach a goal,عْمَلْ مَجْهُودُو بِشْ يُوصِلْ
9555,"to grow up, become wise",عْمَلْ مُخّْ
9556,to do good to someone,عْمَلْ مْعَاهْ البَاهِي
9557,to do bad or evil to someone,عْمَلْ مْعَاهْ الدْوانَةْ
9558,to update,عْمَلْ مِيزْآجُورْ
9559,to make a copy,عْمَلْ نُسْخَةْ
9560,action (usually negative connotation),عَمْلَةْ
9561,bad action,عَمْلَةْ خَايْبَةْ
9562,"he gave feedback, review",عْمَلِّكْ بِيلُونْ
9563,he made it into a chart/graph,عْمَلِّلْهَا الرَسْمْ البَيَانِي
9564,"to do it upside down, backwards",عْمَلْهَا بِلْمَقْلُوبْ
9565,to perform magic on someone,عْمَلُّو البُخُوخُو
9566,to use magic on someone with different plants,عْمَلُّو الحَيَّةْ وَ المِيتَةْ
9567,to blackmail,عَمْلُو شُونْطَاجْ
9568,"to make a talisman, use magical writing",عَمْلُو طْلَامِسْ
9569,"to make fun of, treat like a clown",عَمْلُو كَرَكُوزْ
9570,"to make a trap, ambush",عَمْلُو كَمِينْ
9571,they had sex (crass),عَمْلُو نِيكَةْ
9572,they had sex (crass),عَمْلُو وَاحِدْ
9573,public,عُمُومِي
9574,"about, to do with",عَنْ
9575,"to mean something to, be significant to",عْنَاتْلُو
9576,"stubborn, hard-headed",عْنَايْدِي
9577,"at, for, with",عَنْدْ
9578,you have,عَنْدِكْ
9579,at your house,عَنْدِكْ
9580,do you happen to have…,عَنْدْكُمْشِي
9581,still with him,عنده مازال
9582,she has a (boy)friend,عندها كوبان
9583,"to have a result, score",عَنْدْهَا نْتِيجَةْ
9584,"they have the same perspective, theory",عَنْدْهُمْ نَفْسْ النَّظَرِيَةْ
9585,it has priority,عَنْدُو الأَوْلَوِيَّةْ
9586,"he has bad luck, someone is doing magic against him",عَنْدُو التَّابْعَةْ
9587,he's shy,عَنْدُو الحِشْمَةْ
9588,he is lucky,عَنْدُو الزّْهَرْ
9589,"to have patience, long-suffering",عَنْدُو السُّوفِلْ
9590,he's brave enough,عَنْدُو الشَّجَاعَةْ الكَافْيَةْ
9591,"he's always lazy, tired, worn out",عَنْدُو الفَشْلَةْ
9592,"he has potential, giftings",عَنْدُو إِمْكَانِيَّاتْ
9593,he has hope,عَنْدُو أَمَلْ
9594,he has endurance,عَنْدُو أُنْدُورُونْسْ
9595,he has a mission,عَنْدُو أُورْدِرْ مِيسْيُونْ
9596,he has faith,عَنْدُو إِيمَانْ
9597,he has a badge,عَنْدُو بَادْجْ
9598,"he has his share, part",عَنْدُو بَايْ
9599,have a subscription card,عندو بطاقة إنخراط
9600,"he tends to, he's likely to",عَنْدُو تُونْدُونْسْ
9601,he has confidence in himself,عَنْدُو ثِقَةْ فِي رُوحُو
9602,he is curious,عَنْدُو حُبّْ الِإطِّلَاعْ
9603,he has connections,عَنْدُو خْيُوطْ
9604,he's extremely intelligent,عَنْدُو ذْكَاءْ غَيْرْ عَادِي
9605,to doubt,عَنْدُو شُكُوكْ
9606,he has a girlfriend,عَنْدُو صَاحْبَةْ
9607,"to be weak towards something, be unable to say no to, be addicted to",عَنْدُو ضُعْفْ لْحَاجَةْ
9608,"he has a relationship with, it concerns",عَنْدُو عَلَاقَةْ بِ
9609,"he loves to do something, he's a fan, he's passionate about",عَنْدُو غْرَامْ
9610,"he keeps his word, he's a man of his word",عَنْدُو كِلْمَةْ
9611,he has confidence in himself,عَنْدُو كُونْفْيُونْسْ فِي رُوحُو
9612,"he has something to do, he's busy",عَنْدُو مَا يَعْمِلْ
9613,he has a superficial knowledge of,عَنْدُو مَعْرْفَةْ سَطْحِيَّةْ
9614,he has a place/position in society,عَنْدُو مَكَانَةْ فِي المُجْتَمَعْ
9615,to be perceptive,عَنْدُو نَظْرَةْ
9616,he intends to,عَنْدُو نِيَّةْ
9617,I have something to tell you,عَنْدِي مَا نْقُلِّكْ
9618,racism,عُنْصُرِيَّة
9619,to use violence against,عَنِّفْ
9620,violence against women,عُنْفْ عَ النْسَاءْ
9621,"he hit, was violent toward him",عَنْفُو
9622,to hug,عَنَّقْ
9623,"to hang on to, cling to",عَنْكِشْ
9624,"stubborn, hard-headed",عَنِيدْ
9625,"custody, under the guardianship of",عُهْدَةْ
9626,the past years,عْوَامْ إِلي تْعَدَّاوْ
9627,the next years,عْوَامْ إِلي جَايَة
9628,habits,عْوَايِدْ
9629,to bend,عَوِّجْ
9630,to make someone get used to something,عَوِّدْ
9631,"stick, branch",عُودْ
9632,11-stringed musical instrument,عُودْ
9633,return,عَوْدَةْ
9634,"he transgress the limits, exceed, go overboard",عَوّْرِلْهَا
9635,he remained in failure,عَوّقْ
9636,to disobey,عُوقْ
9637,"to rely on, depend on",عَوِّلْ
9638,to let someone or something swim,عَوِّمْ
9639,to soak,عَوِّمْ
9640,"to give a shower, bath",عَوِّمْ
9641,agent,عَوْنْ
9642,security agent,عَوْنْ أَمْنْ
9643,"calm, well-behaved, quiet",عْوِيقِلْ
9644,of or concerning vacation,عَيَّادِي
9645,may God protect us from it,عِيَاذْ بِالله
9646,"caliber, type",عِيَارْ
9647,"a simple person who's getting by, average person",عَيَّاشْ
9648,last name,عَيَّاشْ
9649,"screaming, yelling",عْيَاطْ
9650,children,عِيَالْ
9651,"flaw, mistake, shame",عِيبْ
9652,birthday,عِيدْ المِيلَادْ
9653,"to insult, mock",عَيِّرْ
9654,may you live,عَيِّشْ
9655,"please, thank you",عَيِّشْ
9656,"thank you, sister",عِيّْشْ أُخْتِي
9657,"thank you, brother",عِيشْ خُويَا
9658,life,عِيشَةْ
9659,"a life without peace of mind, stressful life",عِيشَةْ بْلَا رَاحَةْ بَالْ
9660,"a bad life, life of poverty and problems",عِيشَةْ حَرْفَةْ
9661,good life,عِيشَةْ طَيْبَةْ
9662,normal life,عِيشَةْ عَادِيَّةْ
9663,life of rebellion,عِيشَةْ مِتَاعْ تَمَرُّدْ
9664,to yell for help,عَيّطْ بِشْ إِعَاوْنُوهْ
9665,he yelled at him,عَيِّطْ عْلِيهْ
9666,"scream, yell",عِيطَةْ
9667,one scream,عِيطَةْ وَحْدَا
9668,he called him,عَيَّطْلُو
9669,"to disgust, make someone hate something",عَيِّفْ
9670,starting to wake up (one eye open),عِينْ مَحْلُولَةْ وْ عِينْ مْسَكْرَةْ
9671,sample,عَيّْنَةْ
9672,take care of him,عِينِكْ عْلِيهْ
9673,"he isn't shy, he's bold",عِينُو صْحِيحَةْ
9674,he wants something,عِينُو فِي حْكَايَةْ
9675,he can hardly open his eyes (about to fall asleep),عِينِينْ مَحْلُولَةْ بِالسِّيفْ
9676,he keeps looking all around,عِينِيهْ تَلْعَبْ بَرْشَا
9677,"to have sleepy, sunken, droopy eyes",عِينِيهْ طَايْحَةْ
9678,he's taking care of the child,عِينِيهْ عَ الصْغِيرْ
9679,"to not come, be absent",غَابْ
9680,"absent, not present",غَايبةْ
9681,"to leave, go away",غَادِرْ
9682,traitorous,غَادِرْ
9683,there,غَادِي
9684,there,غَادِيكَا
9685,"to take over a place, steal it",غَارْ عَلْ بُقْعَة
9686,raid,غَارَةْ
9687,"sunken, sinking, drowning",غَارِقْ
9688,deep,غَارِقْ
9689,gas,غَازْ
9690,gaseous,غَازِي
9691,to deliberately make someone feel very angry (usually by defeating him),غَاضْ
9692,very busy,غَاطِسْ
9693,"diving, immersed underwater",غَاطِسْ
9694,"winner, defeating",غَالِبْ
9695,"often, usually",غَالِبًا
9696,"wrong, not true",غَالِطْ
9697,"to think too well of oneself, arrogant",غَالِطْ فِي رُوحُو
9698,"to take a risk, have an adventure",غَامِرْ
9699,"mysterious, unclear",غَامِضْ
9700,dark (color),غَامِقْ
9701,"goal, intent",غَايَةْ
9702,jealous,غَايِرْ
9703,drug dealer,غَبَّارْ
9704,dust (plural),غْبَارْ
9705,fertilizer,غْبَارْ
9706,"to compost, fertilize",غَبِّرْ
9707,to cover with dust/dirt,غَبِّرْ
9708,"to vanish, be completely gone",غْبِرْ
9709,dust,غَبْرَةْ
9710,"traitor, someone who turns on his friends",غَدَّارْ
9711,"to betray, turn on",غْدَرْ
9712,he died by surprise,غَدْرُو لْمُوتْ
9713,tomorrow,غُدْوَةْ
9714,tomorrow,غُدْوِيكَا
9715,"to decieve, drag into a bad situation",غَرّْ
9716,"love, desire, passion",غْرَامْ
9717,"real love for, significant passion for",غْرَامْ كْبِيرْ
9718,west,غَرْبْ
9719,"to set (sun), hide, go away",غُرْبْ
9720,"expatriate life, life outside one's passport country",غُرْبَةْ
9721,western,غَرْبِي
9722,to drown,غْرُقْ
9723,sewer water,غْرَمْ
9724,to make a strange noise,غَرْوِطْ
9725,growl (stomach),غَرْوِطْ
9726,strange,غْرِيبْ
9727,foreign,غْرِيبْ
9728,instinct,غَرِيزَة
9729,"to invade, attack",غْزَا
9730,"to look, stare",غْزَرْ
9731,"to give a sideways glance, glare",غْزَرْ عَلَى جْنَبْ
9732,to look from the window,غْزَرْ مِ الشِّبَاكْ
9733,"a look, stare",غَزْرَةْ
9734,to look down upon,غْزَرْلُو بْعِينْ دُونِيَّةْ
9735,to spin (wool),غْزِلْ
9736,"invasion, attack",غَزْوَة
9737,"copious, lots, a ton",غْزِيرْ
9738,"tough time, difficult experience",غَسْرَةْ
9739,to wash the dead,غَسِّلْ المِيِّتْ
9740,"to cheat, rip off",غَشْ
9741,cheating,غِشّْ
9742,"cheater, unfair person",غَشَّاشْ
9743,"to hit, strike",غْشِمْ
9744,young child,غِشِّيرْ
9745,to choke,غَصّْ
9746,to force (often oneself),غَصِّبْ
9747,to force to eat,غَصِّبْ عْلِيهْ لْمَاكْلَةْ
9748,"choking, heartache",غُصَّةْ
9749,"crisis, hard time",غَصْرَةْ
9750,"cover, lid",غْطَاءْ
9751,bed sheets,غْطَاءْ
9752,to completely cover something,غَطَّاهَا لْكُلْ
9753,to dive (rural),غَطِّسْ
9754,"to be completely tied up, very busy",غَطِّسْ
9755,to dive (urban),غْطُسْ
9756,"to dive underwater, put under water",غْطُسْ تَحْتْ المَاءْ
9757,"someone who messes things up, isn't organized, works randomly",غَفَّاسْ
9758,to forgive,غْفِرْ
9759,"to stomp on, smash",غَفِّصْ
9760,"to forget, not pay attention",غْفِلْ
9761,"negligence, lack of paying attention",غَفْلَةْ
9762,"boy, usually servant boy (ancient Arab culture)",غُلَامْ
9763,"a strange, big problem",غَلْبَة
9764,catastrophy,غَلْبَة
9765,"I defeated him, won",غْلِبْتُو
9766,he won with his loud voice,غْلِبْهُمْ بْصُوتُو
9767,"to intentionally misunderstand someone, misrepresent",غَلِّطْ
9768,to make a grammatical mistake,غْلُطْ فِي لْڨْرَامَارْ
9769,"mistake, sin",غَلْطَة
9770,"to cover, upholster",غَلِّفْ
9771,to cover the roof (with aluminum or something else),غَلِّفْ السْطَحْ
9772,boiling,غَلَيَانْ
9773,to cover (person),غَمّْ
9774,"to submerge with water, drown",غْمِرُو
9775,to wink,غْمَزْ
9776,a wink,غَمْزَةْ
9777,to dip,غْمِسْ
9778,to close one's eyes,غَمِّضْ
9779,to cover something,غَمّْهَا
9780,"to deceive, trick someone",غَمّْهَا
9781,hide and seek,غُمِّيضَةْ
9782,"monster, ghoul, ghost",غُولْ
9783,"When the cat's away, the mice come out to play.",غِيبْ يَا قِطّْ أَلْعَبْ يَا فَارْ
9784,"absence, period when someone's not around",غَيْبَةْ
9785,"unseen, mysterious, supernatural",غَيْبِي
9786,"to change, transform",غَيِّرْ
9787,"not like, different, minus",غِيرْ
9788,to change one's behavior,غَيِّرْ تَصَرُّفَاتُو
9789,to change one's behavior,غَيَّرْ سْلُوكُو
9790,"it's for sure, no doubt",غَيَرْ مَشْكُوكْ فِيهْ
9791,jealousy,غِيرَةْ
9792,glue,غِيرَةْ
9793,"to pass by, go on",فَاتْ
9794,beyond reason,فَاتْ المَعْقُولْ
9795,to miss the deadline,فَاتْ الوَقْتْ المُخَصَّصْ
9796,"let bygones be bygones, it's over, water under the bridge",فَاتْ مَاتْ
9797,"he doesn't know, he didn't get a chance",فَاتِتُّو لَحْكَايَةْ
9798,"face, ugly face",فاطشة
9799,"he missed the train, it's too late, time's up",فَاتُو التْرَانْ
9800,he's wiser and more intelligent than he,فَاتُو بِالعْقَلْ
9801,"tragedy, catastrophe",فَاجْعَة
9802,"to waft, smell spreads",فَاحْ
9803,"to insult, mock, embarrass",فَاحْ
9804,"bored, frustrated",فَادْ
9805,"a grave, huge mistake",فَادْحَةْ
9806,the redeemer,فَادِي
9807,"last, previous",فَارِطْ
9808,empty,فَارْغ
9809,"pointless, worthless",فَارْغ
9810,"trick, statement, event",فَازَة
9811,"axe, pickaxe",فَاسْ
9812,rear façade,فَاسَادْ آرْيَارْ
9813,"corrupt, evil",فَاسِدْ
9814,rotten,فَاسِدْ
9815,"why, why in the world",فَاشْ قَامْ
9816,comma,فاصِلْ
9817,to overflow,فَاضْ
9818,was overfilled,فَاضْ
9819,"free, available, not busy",فَاضِي
9820,from the Fatimid empire,فاطمي
9821,"effectiveness, efficiency",فَاعِلِيَّة
9822,favorite,فَافُورِي
9823,"to wake up, be aware",فَاقْ
9824,he realized what he had done was wrong,فَاقْ إِلِّي تْصَرِّفْ بِلْغَالِطْ
9825,he noticed something,فَاقْ بْحَاجَةْ
9826,he knew it right away,فَاقْ بِيهَا عَلَ طَّايِرْ
9827,it's lost its meaning,فَاقْدَةْ لِلْمَعْنَى
9828,"in that place, spot",فَاكَا لِبْلَاصَةْ
9829,"omen, bad sign",فَالْ
9830,valid,فَالَابِلْ
9831,"successful, active person",فَالَحْ
9832,"in fact, actually",فالحقيقة
9833,"bad, pointless, fake",فَالْصُو
9834,woman,فَامْ
9835,"fan (of group, sport)",فَانْ
9836,fanatic,فَانَاتِيكْ
9837,"temporary, going to end",فَانِي
9838,"better than nothing, it is a blessing",فَاهَا البَرْكَةْ
9839,contains a high percentage of,فَاهَا بُورْسُونْتَاجْ كْبِيرْ مِنْ
9840,risky,فَاهَا رِيسْكْ
9841,"understands, wise",فَاهِمْ
9842,he gets what's going on,فَاهِمْ الوَاقِعْ
9843,it smells good,فَاوِحْ
9844,older than they,فَايِتْهُمْ فِي لَعْمُرْ
9845,benefit,فَايْدَةْ
9846,interest (bank),فَايْدَةْ
9847,winner,فَايْزَةْ
9848,"awake, aware",فَايَقْ
9849,"he's active, you can't pull one over on him",فَايْقِلْهَا
9850,to vibrate,فَبْرَى
9851,"made, produced",فَبْرِيكَا
9852,"fake, made up",فَبْرِيكَا
9853,someone who causes problems or fights between people,فَتَّانْ
9854,"glamorous, gorgeous",فَتَّانْ
9855,to crumble,فَتِّتْ
9856,to open,فْتَحْ
9857,small opening,فُتْحَةْ
9858,period of time,فَتْرَةْ
9859,"lifetime, time living",فَتْرَةْ المَعِيشَةْ
9860,"to search, look carefully",فَتِّشْ
9861,"crumbs, remainder",فِتْفَاتْ
9862,to pull apart at the seams,فَتَّقْ
9863,very beautiful (usually eyes),فَتَّقْ
9864,"to totally eradicate, do away with",فْتِّكْ
9865,"to twist, contort",فْتِلْ
9866,twisting,فَتْلَةْ
9867,"something twisted, especially a wick",فَتْلَةْ
9868,"feud, dispute, especially feud between Ali and Aisha",فِتْنَةْ
9869,"to look around, rummage",فَتْوِشْ
9870,wick,فْتِيلَةْ
9871,suddenly,فَجْأَةْ
9872,"to blow up, explode",فَجِّرْ
9873,"to scare, surprise",فْجَعْ
9874,scary surprise,فَجْعَةْ
9875,"gap, opening, loophole, weak point",فَجْوَةْ
9876,sudden,فُجْئِي
9877,to step over,فَحِّجْ
9878,"to check up on, examine",فْحَصْ
9879,"male, especially tough, strong one",فَحِّلْ
9880,"male animal from the flock, livestock",فَحِّلْ
9881,"a man with good sexual ability, virile",فَحِّلْ
9882,"male, especially tough, strong one",فْحَلْ
9883,"male animal from the flock, livestock",فْحَلْ
9884,a man with good sexual ability,فْحَلْ
9885,coal,فْحَمْ
9886,olive coals,فَحْمْ زَيْتُونْ
9887,orange coals,فحم متاع برتقان
9888,piece of coal,فَحْمَةْ
9889,black person (racist),فَحْمَةْ
9890,"coal that isn't very hot, just smoking, ember",فَحْمَةْ مَرْعُوبَةْ
9891,"virility, sexual strength, fertility (man)",فُحُولَة
9892,"people from olden days, the previous generations",فُخَّارْ بِكْرِي
9893,"pride, honor",فَخْرْ
9894,"pride (negative connotation), showing off",فُخْرَةْ
9895,honorary,فَخْرِي
9896,to loosen,فَخْفَخْ
9897,loose,فَخْفْخَةْ
9898,luxurious,فَخْمَةْ
9899,proud,فَخُورْ
9900,federation,فِدَارَاسْيُونْ
9901,to joke around,فَدْلِكْ
9902,joking,فَدْلْكَةْ
9903,"sensitive, fragile",فْرَاجِيلْ
9904,"individual, for one person, unique",فَرَّادِي
9905,Separation,فْرَاقْ
9906,he braked,فْرَانَى
9907,"to clutter, toss wherever",فَرِّتْ
9908,to move around while rummaging,فْرِتْ
9909,"relief, solution to a problem",فْرَجْ
